url,ip,country,latitude,longitude
diaryofagameaddict.com,208.76.86.134,US,42.8223,-83.2829
espdesign.com.au,184.106.55.19,US,42.7348,-84.6245
iamagameaddict.com,208.76.86.134,US,42.8223,-83.2829
kalantzis.net,208.88.6.80,CA,43.7489,-79.4422
slightlyoffcenter.net,208.76.80.77,US,42.8223,-83.2829
rupor.info,5.9.82.114,DE,51.2993,9.491
timothycopus.aimoo.com,158.85.220.20,US,32.9322,-96.8353
xindalawyer.com,180.76.132.173,CN,39.9289,116.3883
ruiyangcn.com,154.92.204.24,HK,22.25,114.1667
zkic.com,52.60.153.72,CA,45.4995,-73.5848
juicypussyclips.com,91.195.240.126,DE,51.2993,9.491
bezproudoff.cz,93.185.104.30,CZ,50.0848,14.411200000000001
ceskarepublika.net,45.33.23.183,US,32.7787,-96.8217
hotspot.cz,85.118.128.42,CZ,50.0848,14.411200000000001
nordiccountry.cz,93.185.104.28,CZ,50.0848,14.411200000000001
nowina.info,185.18.29.3,CZ,48.9369,14.4131
otylkaaotesanek.cz,81.2.195.176,CZ,48.9167,14.1333
pensionhelene.cz,217.16.182.132,CZ,50.0848,14.411200000000001
podzemi.myotis.info,93.185.104.64,CZ,50.0848,14.411200000000001
smrcek.com,93.185.104.64,CZ,50.0848,14.411200000000001
spekband.com,93.185.104.28,CZ,50.0848,14.411200000000001
zgsysz.com,23.20.239.12,US,39.0481,-77.4728
oknarai.ru,109.206.181.75,NL,52.3824,4.8995
hardcorepornparty.com,185.53.179.8,DE,51.2993,9.491
zous.szm.sk,85.248.42.103,SK,48.6741,17.4415
noveslovo.com,185.67.1.12,UA,50.45,30.5233
luckyblank.info,96.47.230.67,US,25.7806,-80.1826
luckyclean.info,104.24.124.140,US,37.751,-97.822
luckyclear.info,198.252.108.60,CA,43.7001,-80.3664
luckyhalo.info,108.61.19.12,US,40.4652,-74.2307
luckypure.info,96.47.230.70,US,25.7806,-80.1826
luckysuccess.info,104.31.77.198,US,37.751,-97.822
luckysure.info,104.28.10.78,US,37.751,-97.822
buffalogoesout.com,204.11.56.48,VG,18.5,-64.5
achren.org,50.63.202.59,US,33.6013,-111.8867
conds.ru,90.156.201.76,RU,55.7386,37.6068
unalbilgisayar.com,94.73.148.14,TR,41.0214,28.9948
www.tsb.net,69.172.201.153,US,37.751,-97.822
hanulsms.com,211.234.111.107,KR,37.5112,126.97409999999999
semengineers.com,63.247.87.162,US,30.0516,-95.4707
tendersource.com,23.20.239.12,US,39.0481,-77.4728
webolymp.ru,31.31.205.163,RU,55.7386,37.6068
somnoy.com,23.20.239.12,US,39.0481,-77.4728
spatsz.com,64.50.185.60,US,33.8263,-117.8511
svetyivanrilski.com,79.124.76.160,BG,42.7,23.3333
tophostbg.net,79.124.64.53,BG,42.7,23.3333
vivaweb.org,91.215.216.38,BG,42.7,23.3333
warco.pl,81.2.195.31,CZ,48.9167,14.1333
bde.be,91.195.240.126,DE,51.2993,9.491
pwvita.pl,91.234.146.112,PL,52.2394,21.0362
roks.ua,185.68.16.200,UA,50.45,30.5233
skgroup.kiev.ua,185.68.16.47,UA,50.45,30.5233
tomalinoalambres.com.ar,181.88.192.53,AR,-34.6033,-58.3817
vipdn123.blackapplehost.com,72.9.135.10,US,37.751,-97.822
wroclawski.com.pl,89.161.221.110,PL,52.2394,21.0362
www.vvvic.com,101.55.17.34,KR,37.5112,126.97409999999999
0koryu0.easter.ne.jp,208.71.106.216,US,37.751,-97.822
www.whitesports.co.kr,222.231.27.216,KR,37.5112,126.97409999999999
vernoblisk.com,34.196.132.20,US,39.0481,-77.4728
vkont.bos.ru,195.16.42.36,RU,55.7527,37.6172
webordermanager.com,91.195.240.126,DE,51.2993,9.491
videoflyover.com,208.91.197.46,VG,18.5,-64.5
cwmgaming.com,104.232.141.202,US,37.751,-97.822
freefblikes.phpnet.us,199.59.242.151,US,37.751,-97.822
yougube.com,93.115.28.104,LT,56.0,24.0
youtuhe.com,34.196.13.28,US,39.0481,-77.4728
youtibe.com,162.215.252.78,US,40.2347,-111.6447
malest.com,23.20.239.12,US,39.0481,-77.4728
ad.getfond.info,112.78.117.97,JP,34.6869,135.5211
downloadswhatsapp.com,192.184.12.62,US,34.0729,-118.2606
vroll.net,217.26.48.101,CH,47.1449,8.1551
updat120.clanteam.com,52.70.90.38,US,39.0481,-77.4728
winrarsoft.ru,81.177.135.211,RU,55.7527,37.6172
resolvethem.com,104.28.27.106,US,37.751,-97.822
powershopnet.net,217.160.230.163,DE,51.2993,9.491
dancecourt.com,216.139.218.10,US,30.2638,-97.7166
ocpersian.com,104.18.54.176,US,37.751,-97.822
www.aerreravasi.com,213.205.40.169,IT,43.1479,12.1097
grendizer.biz/informazioni/statistiche.zip?vfww8lyfaiccpr_elke.staiger+at+fdp.landtagbw.de,185.53.178.8,DE,51.2993,9.491
theweatherspace.com,185.53.178.8,DE,51.2993,9.491
www.smartscan.ro,85.9.27.130,RO,44.4354,26.1033
lunaticjazz.com,204.11.56.46,VG,18.5,-64.5
www.airsonett.se,194.9.94.86,SE,59.3247,18.056
websitebuildersinfo.in,162.255.119.245,US,34.0318,-118.4252
textspeier.de,104.27.162.228,US,37.751,-97.822
